type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,start_ts,Re_enriched,Rct_enriched,imp_source,last_imp_uid,has_prior_impedance,impedance_age_uids,detail_path,n_points,duration_s,V_start,V_end,V_mean,V_std,V_min,V_max,V_skew,V_kurt,I_mean,I_std,I_min,I_max,Temp_mean,Temp_std,Temp_min,Temp_max,t_to_Tmax,dVdt_mean,dVdt_min,dVdt_max,curv_max,radius_median,auc_V_dt,time_V_above_3.5,time_V_above_3.0,t_to_V_below_3.5,t_to_V_below_3.0,P_max_abs,P_mean_abs,E_Wh_abs,IC_peak_abs
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,5122,05122.csv,1.856487421,,,2008-04-02 15:25:41.593,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05122.csv,197.0,3690.234,3.9883781926238018,3.267624610201319,3.5300036810915527,0.22067216644482865,3.0362335755907255,3.9883781926238018,-0.31408946866503323,-0.27460496052549743,-1.8187019641679727,0.5935461816744741,-2.0180146876333027,0.0007285852728454,32.572328114029,3.486920476221683,24.325993424022467,38.98218133148803,3366.781,-0.00020208124395878365,-0.0015573998234894165,0.0011707367158556303,1.7011842495645673e-05,8109413.768315404,13000.327320456629,2049.2735000000002,3690.234,2058.641,,7.9678680556550034,6.470054521863429,6.616209569493674,32.66580504856206
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,5124,05124.csv,1.84632725,,,2008-04-02 19:43:48.406,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05124.csv,196.0,3672.344,3.9922270823892116,3.2951671721990072,3.537785084119497,0.21854247588932382,3.04601038606818,3.9922270823892116,-0.30420234334253127,-0.24761310479294263,-1.8175598506612867,0.5951796218062511,-2.016820542901454,0.0029274033590803,32.72523522519307,3.426734226466467,24.685948163596,39.03339796678704,3348.735,-0.00019654005401554232,-0.0015516323256681563,0.001189550793576799,1.643481151945429e-05,7544309.859194235,12965.891003408085,2087.2505,3672.344,2096.641,,7.986170810433836,6.479728642548657,6.594033752964416,40.79109700360214
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,5126,05126.csv,1.835349194,,,2008-04-03 00:01:06.687,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05126.csv,195.0,3651.641,3.992835014548741,3.320574353386066,3.544022286587491,0.21228276826972367,3.0758684413366075,3.992835014548741,-0.224899869712359,-0.3083135849627312,-1.8164865418840956,0.5964980204475099,-2.016573862170142,0.001483676365228,32.64286193755933,3.3794750427627753,24.7342661639544,38.81879668981741,3329.281,-0.00019058194807542632,-0.0014683682873355836,0.0011797021532533036,1.5668154188885065e-05,7578447.857637341,12916.895901330077,2106.7264999999998,3651.641,2116.094,,7.991694124239481,6.483510065987004,6.5628290276948364,16.378445347915022
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,5128,05128.csv,1.835262528,,,2008-04-03 04:16:37.375,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05128.csv,194.0,3631.563,3.994356990753968,3.334243369384314,3.5440631887927467,0.21652763827011334,3.0590254057493174,3.994356990753968,-0.28596650227499787,-0.25517003095035795,-1.8255891938692528,0.5834624841611844,-2.0159359571668354,0.0015470119527235,32.51487646204882,3.3865437316993536,24.65224374129252,38.7623045063458,3329.5,-0.0001870569248939591,-0.001539325936248212,0.0011075796741532584,1.5858954192210908e-05,7375236.927488895,12845.571520589874,2126.1485000000002,3631.563,2135.578,,7.980151983267424,6.516215148712886,6.562555308367247,62.0938226967597
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,5130,05130.csv,1.834645508,,,2008-04-03 08:33:25.703,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05130.csv,194.0,3629.172,3.9948928365149183,3.3277304332184356,3.5429366854913833,0.21959233276077253,3.045760454745423,3.9948928365149183,-0.32534294710304384,-0.2182321591236165,-1.8261139590277584,0.5834685498827803,-2.017425579158831,0.0017014548245034,32.38234901543077,3.3958806914600226,24.518700434435164,38.66539257343368,3327.531,-0.0001888662857649731,-0.0015828006693463792,0.0011293408520636344,1.6575340202903473e-05,7553237.972875742,12832.905159451366,2125.094,3629.172,2134.516,,7.990759678199642,6.517851622141584,6.560358057957409,24.90710352459335
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,5132,05132.csv,1.83566166,,,2008-04-03 12:55:10.687,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05132.csv,195.0,3652.281,3.9959948332483055,3.301299188626314,3.5422250246755826,0.22154681691945563,3.039402973424001,3.9959948332483055,-0.33298351040389346,-0.21930549851296233,-1.8168108743168805,0.5967015706365189,-2.0162347618032066,0.0024899497555445,32.43418218230641,3.417325567545538,24.51442664842638,38.75169504640032,3329.047,-0.0001965624812317718,-0.001598780606945252,0.0012050522959407006,1.6785542952674936e-05,7333659.475445655,12911.05799610117,2125.3514999999998,3652.281,2134.797,,7.988614625383295,6.487071335593462,6.565829542547841,8.464730107409897
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,5134,05134.csv,1.835146143,,,2008-04-03 17:17:16.015,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05134.csv,195.0,3650.828,3.9969697466946577,3.2953669495223528,3.5420857009045643,0.22411597722869733,3.030441298874269,3.9969697466946577,-0.361781919081803,-0.19635511153102136,-1.816791144707133,0.5964919190059063,-2.01583310669507,0.0023142958827398,32.480416444757985,3.419542558294876,24.575581239008407,38.8207012322275,3328.156,-0.00019819359468098836,-0.0016393692578975105,0.0012002633390501422,1.7076019743848934e-05,7418797.175167574,12905.201301943705,2143.156,3650.828,2152.656,,8.003130707830614,6.488471296982294,6.565623431689481,5.714842044627462
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,5136,05136.csv,1.825756791,,,2008-04-03 21:28:14.718,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05136.csv,191.0,3572.453,3.9983260396745517,3.3779874519241124,3.5539564923636995,0.21321243489897967,3.0889397699156675,3.9983260396745517,-0.24974944332914004,-0.2864939599059193,-1.8443412120754061,0.5573831672048897,-2.0166395518034546,0.0022276160569156,32.41046186109587,3.3516161723228617,24.71132429046902,38.51713023385634,3311.328,-0.00017604874543441712,-0.0014286041750609796,0.0016370876024209744,1.4615773959261422e-05,7691666.501232255,12672.531136738216,2146.1405,3572.453,2155.531,,7.993169203961203,6.596473285129403,6.542128861456759,24.150490967105984
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,5138,05138.csv,1.824773853,,,2008-04-04 01:38:15.218,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05138.csv,190.0,3550.594,3.9985172884250506,3.380869702848483,3.5527798059993683,0.21781879679367677,3.0666296126381942,3.9985172884250506,-0.3364892761256839,-0.17642458039797537,-1.853972745505648,0.5424840616663397,-2.018357230695621,0.0054010283210214,32.3461408313,3.3724043396197616,24.628487294051176,38.526267904657,3309.625,-0.0001746360804522972,-0.0014954291773837947,0.002422935286554381,1.4907657295633644e-05,7491338.570558988,12590.318598430647,2144.234,3550.594,2153.687,,7.992453742103291,6.628975151128489,6.536514542980818,89.62641372923116
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,5140,05140.csv,1.824613268,,,2008-04-04 05:48:08.609,0.0446687,0.069456273,bfill,,0,-1.0,C:\Users\admin\OneDrive\바탕 화면\실전 프로젝트\data\05140.csv,190.0,3551.25,3.999140569045797,3.3759942232101308,3.5512438378151345,0.2211341111343376,3.0512767665398397,3.999140569045797,-0.3790835563165597,-0.12651730364138558,-1.853589933851096,0.5423346882876612,-2.016071837814984,0.0030191479674457,32.27679750791685,3.384318782535614,24.561560340089137,38.52698128472781,3310.016,-0.00017581831757841143,-0.0015503311847659407,0.002555576931498962,1.58052409733045e-05,7670729.702302441,12586.543520763218,2144.602,3551.25,2154.079,,7.997846036247607,6.626324105530995,6.53444797831791,20.545279027440284
