iter	MAE
0	0.09350923889
1	0.09082644633
2	0.08823784359
3	0.08574878375
4	0.08311155547
5	0.0806172212
6	0.07816176885
7	0.07569510098
8	0.07358426473
9	0.07142765466
10	0.0693177371
11	0.06731656572
12	0.06540618404
13	0.06350683267
14	0.06192119932
15	0.06025261791
16	0.0587096042
17	0.05706964268
18	0.05546583214
19	0.05402953042
20	0.05255496429
21	0.05110239168
22	0.04977863162
23	0.04846297526
24	0.0472156723
25	0.04600633889
26	0.04476842175
27	0.04360075676
28	0.04244224887
29	0.04133949721
30	0.04033166855
31	0.03930550831
32	0.03832795892
33	0.03732115927
34	0.03625677662
35	0.03520619684
36	0.03433297232
37	0.03347081176
38	0.03264547601
39	0.03178403562
40	0.03095813029
41	0.03018067242
42	0.02950035148
43	0.02881721603
44	0.02816140996
45	0.02758942089
46	0.02686342578
47	0.02628359244
48	0.02574910181
49	0.02522998005
50	0.02468017003
51	0.0241907442
52	0.02365460734
53	0.02306959356
54	0.02261113886
55	0.02205334387
56	0.02167087888
57	0.02125466012
58	0.02085766501
59	0.02039375481
60	0.02000256633
61	0.01953697874
62	0.01918513723
63	0.01868620658
64	0.01830780928
65	0.01800810436
66	0.01771578006
67	0.01730974228
68	0.01703106295
69	0.01679127354
70	0.01649783866
71	0.01621334538
72	0.01585489966
73	0.01554930691
74	0.01521171937
75	0.01500355113
76	0.01475661869
77	0.01454546684
78	0.01431889068
79	0.01408644205
80	0.01376748343
81	0.01357260036
82	0.01339544859
83	0.01311205927
84	0.0129638588
85	0.01284185018
86	0.01256397938
87	0.01240966659
88	0.01226278297
89	0.01208118198
90	0.01184190463
91	0.01157492402
92	0.01141111134
93	0.01123438683
94	0.01100642327
95	0.01086759277
96	0.01065779647
97	0.01050104617
98	0.01040540711
99	0.01031491272
100	0.01020346991
101	0.0100257077
102	0.009833565113
103	0.00973668862
104	0.009543588181
105	0.009371235253
106	0.009212883232
107	0.00908453083
108	0.008895065659
109	0.008835852451
110	0.008721394807
111	0.008650755994
112	0.008584216176
113	0.008511426853
114	0.00836848141
115	0.008320247488
116	0.008184738412
117	0.00806643892
118	0.007941721309
119	0.007805179153
120	0.007703421499
121	0.007592628624
122	0.007459131857
123	0.007350010244
124	0.007228846945
125	0.007132221365
126	0.007041362319
127	0.006936886397
128	0.006836474925
129	0.006742748001
130	0.006655747362
131	0.006566436614
132	0.006477485955
133	0.006395877286
134	0.006328971239
135	0.006239523636
136	0.0061681102
137	0.006105853313
138	0.006052255539
139	0.005986984467
140	0.005918228377
141	0.005853614377
142	0.005779272
143	0.005714727397
144	0.005658515732
145	0.005604167078
146	0.005538935872
147	0.00549951451
148	0.00545246991
149	0.005397340775
150	0.005348394997
151	0.005297029411
152	0.005244772591
153	0.005202093117
154	0.005158681518
155	0.005128327617
156	0.005086508251
157	0.005051147341
158	0.00501585328
159	0.004975888574
